codename,id,name,description,views,created_at,updated_at,is_published,language_id,category_id,joined_tag_names,language_code,next_expiration_on,language_code
what-is-issue-mode-and-form-mode,264208,What is issue mode? What is inspection mode?,"",3100,2017-07-24 06:35:55 UTC,2018-09-28 05:35:28 UTC,true,1,,,,,,en_US
264202-untitled-question,264202,Untitled Question,,,2017-07-24 05:37:37 UTC,2017-07-24 05:37:37 UTC,false,1,,,,,,en_US
264216-untitled-question,264216,Can SnagR store documents?,"",,2017-07-24 06:46:17 UTC,2017-07-24 06:46:27 UTC,false,1,,,,,,en_US
264217-untitled-question,264217,How do I see list of all issues and forms?,"",,2017-07-24 06:46:34 UTC,2017-07-24 06:46:48 UTC,false,1,,,,,,en_US
264212-untitled-question,264212,What does synchronise mean?,"",,2017-07-24 06:44:52 UTC,2017-07-24 06:45:01 UTC,false,1,,,,,,en_US
264213-untitled-question,264213,How do I change drawing?,"",,2017-07-24 06:45:14 UTC,2017-07-24 06:45:22 UTC,false,1,,,,,,en_US
264214-untitled-question,264214,What is the difference between issue mode and form mode?,"",,2017-07-24 06:45:33 UTC,2017-07-24 06:45:47 UTC,false,1,,,,,,en_US
264219-untitled-question,264219,What does synchronise mean?,"",,2017-07-24 06:48:46 UTC,2017-07-24 06:49:01 UTC,false,1,,,,,,en_US
264220-untitled-question,264220,How do I change drawing?,"",,2017-07-24 06:49:14 UTC,2017-07-24 06:49:25 UTC,false,1,,,,,,en_US
who-has-access-to-document-repository,268884,Who has access to document repository?,"",1835,2017-08-25 08:56:29 UTC,2019-08-08 08:51:36 UTC,true,1,,,,,,en_US
264290-untitled-question,264290,Untitled Question,,,2017-07-24 09:48:49 UTC,2017-07-24 09:48:49 UTC,false,1,,,,,,en_US
702731-untitled-article,702731,Supporting Video,"",1,2020-11-02 04:49:38 UTC,2020-11-02 04:52:17 UTC,false,1,,,,,,en_US
378714-trd-admin-training-video,378714,TRD Admin Training Video,"",,2019-04-10 08:00:42 UTC,2019-04-10 08:02:52 UTC,true,1,,,,,,en_US
340868-i-can-t-add-a-user-i-don-t-see-him-her-on-the-project-but-the-system-says-email-already-exists-what-is-wrong,340868,"I can't add a user. I don't see him/her on the project, but the system says email already exists. What is wrong? ","",1607,2018-09-27 04:42:37 UTC,2019-01-15 12:36:44 UTC,true,1,,,,,,en_US
dowl-essentials-your-user-workflow-guide,3409410,DOWL Essentials: Your User Workflow Guide,"A comprehensive guide to understanding the DOWL application, offering essential workflow insights, user guidelines, and practical strategies for effective platform utilization.",,2025-07-21 09:36:41 UTC,2025-07-21 09:36:47 UTC,false,1,,,,,,en_US
how-can-i-link-documents-to-a-form,266210,How can I link documents to a form? (Older version),"",739,2017-08-05 04:17:31 UTC,2020-04-15 05:55:25 UTC,true,1,,,,,,en_US
356448-untitled-question,356448,How to login with Two - Factor Authentication?,"",,2019-01-08 08:31:51 UTC,2019-01-08 08:35:23 UTC,false,1,,,,,,en_US
377203-trd-nqaa-training-video,377203,"Video Tutorial - NQAA
","",149,2019-04-04 08:13:58 UTC,2021-08-25 01:35:50 UTC,true,1,,,,,,en_US
389566-nqaa-training-video-website,389566,Website - Export PDF / PDF in batch,"",6,2019-05-21 09:36:27 UTC,2019-05-29 07:17:54 UTC,true,1,,,,,,en_US
389567-nqaa-training-video-app,389567,App - Login,"",3,2019-05-21 09:36:35 UTC,2019-05-21 09:55:00 UTC,true,1,,,,,,en_US
389568-website-form-closed-passed-failed,389568,Website - Form Closed (Passed) / (Failed),"",1,2019-05-21 09:42:04 UTC,2019-05-21 09:47:33 UTC,true,1,,,,,,en_US
389569-website-fill-in-form-and-attach-document,389569,Website - Fill in form and attach document,"",2,2019-05-21 09:45:44 UTC,2019-05-21 09:49:09 UTC,true,1,,,,,,en_US
389571-website-login-with-2-factor-authentication-code,389571,Website - Login with 2-factor authentication code,"",1,2019-05-21 09:49:27 UTC,2019-05-21 09:52:35 UTC,true,1,,,,,,en_US
how-to-make-use-of-form-finder-in-app,391374,How to make use of form finder in app?,"",58,2019-05-29 02:10:17 UTC,2019-11-01 03:59:56 UTC,true,1,,,,,,en_US
app-login,394794,Video Tutorial - DOWL,"",42,2019-06-10 07:21:44 UTC,2019-10-24 03:52:13 UTC,true,1,,,,,,en_US
389572-website-form-creation,389572,Website - Form Creation,"",2,2019-05-21 09:49:53 UTC,2019-05-21 09:51:08 UTC,true,1,,,,,,en_US
389573-app-create-a-new-inspection,389573,App - Create a new inspection,"",1,2019-05-21 09:55:40 UTC,2019-05-21 10:04:24 UTC,true,1,,,,,,en_US
389574-app-form-closed-passed-failed,389574,App - Form Closed (Passed) / (Failed),"",1,2019-05-21 09:56:30 UTC,2019-05-21 10:04:37 UTC,true,1,,,,,,en_US
389575-app-open-form-from-dashboard,389575,App - Open form from Dashboard,"",2,2019-05-21 09:59:25 UTC,2019-05-21 10:04:55 UTC,true,1,,,,,,en_US
389576-app-notification,389576,App - Notification,"",3,2019-05-21 10:00:31 UTC,2019-05-21 10:03:28 UTC,true,1,,,,,,en_US
video-tutorials-spe-report,394803,Video Tutorial - SPE Report,"",45,2019-06-10 08:05:25 UTC,2019-10-24 03:58:56 UTC,true,1,,,,,,en_US
website-photo-diary-issue-dashboard,400392,Website - Photo Diary - Issue Dashboard,"",,2019-06-28 06:46:14 UTC,2019-06-28 06:47:41 UTC,true,1,,,,,,en_US
website-photo-dairy-create-a-photo-diary-record,400393,Website - Photo Dairy - Create a Photo Diary record,"",4,2019-06-28 06:47:52 UTC,2019-06-28 06:53:58 UTC,true,1,,,,,,en_US
app-photo-dairy-create-a-photo-diary-record,400394,APP - Photo Dairy - Create a Photo Diary record,"",3,2019-06-28 06:49:22 UTC,2019-06-28 06:54:17 UTC,true,1,,,,,,en_US
app-photo-dairy-synchronisation,400395,APP - Photo Dairy - Synchronisation,"",,2019-06-28 06:50:13 UTC,2019-06-28 06:51:48 UTC,true,1,,,,,,en_US
photo-diary-adding-more-photos-in-the-same-record,400396,APP - Photo Diary - Adding more photos in the same record,"",,2019-06-28 06:51:55 UTC,2019-06-28 06:53:03 UTC,true,1,,,,,,en_US
how-do-i-get-my-api-token,448362,How do I get my API token?,"",23,2019-08-29 03:29:16 UTC,2019-08-29 03:40:18 UTC,true,1,,,,,,en_US
where-do-i-find-snagr-api-documentation,448363,Where do I find SnagR API documentation? ,"",32,2019-08-29 03:29:33 UTC,2019-08-29 03:45:57 UTC,true,1,,,,,,en_US
how-do-i-embed-power-bi-dashboards-in-snagr-project-sites,448364,How do I embed Power BI reports in SnagR project sites?,"",14,2019-08-29 03:30:19 UTC,2019-08-29 08:37:33 UTC,true,1,,,,,,en_US
training-handout-spe,484404,Handout Material - SPE Report,"",47,2019-10-24 03:12:44 UTC,2019-10-24 04:15:46 UTC,true,1,,,,,,en_US
handout-material-nqaa,484403,Handout Material - NQAA,"",131,2019-10-24 02:57:49 UTC,2019-10-24 03:07:35 UTC,true,1,,,,,,en_US
handout-material-dowl-hints-and-tips,484402,Handout Material - DOWL,"",42,2019-10-24 02:51:28 UTC,2019-10-24 03:18:27 UTC,true,1,,,,,,en_US
how-to-generate-photo-links,530656,How to generate photo links?,"",30,2020-02-11 07:40:15 UTC,2020-12-14 10:42:03 UTC,true,1,,,,,,en_US
how-to-generate-plan-viewer-link,530664,How to generate plan viewer link to view issues?,"",10,2020-02-11 09:00:03 UTC,2020-02-11 09:25:51 UTC,true,1,,,,,,en_US
how-to-generate-link-to-view-inspection-form,530667,How to generate link to view inspection form?,"",19,2020-02-11 09:26:58 UTC,2020-02-11 09:34:13 UTC,true,1,,,,,,en_US
how-to-group-drawings,264285,How to create drawing sets / folders? ,"",2671,2017-07-24 09:23:45 UTC,2021-01-04 09:38:30 UTC,true,1,,,,,,en_US
reset2fa,357029,How to reset Two-Factor Authentication key?,"",2285,2019-01-09 08:46:14 UTC,2019-10-28 13:58:16 UTC,true,1,,,,,,en_US
release-notes-hotfix-android-v41543-06-august-2021,1003487,Release Notes - Hotfix Android v4.154.3 (06-August-2021),"",886,2021-08-06 02:01:04 UTC,2021-08-06 02:02:37 UTC,true,1,,,,,,en_US
can-i-move-an-issue-pin,264232,Can I move an issue pin?,"",1792,2017-07-24 07:19:32 UTC,2019-11-01 04:02:01 UTC,true,1,,,,,,en_US
340896-how-to-edit-the-project-settings,340896,Edit Project Settings (at Project Level),"",1455,2018-09-27 10:24:32 UTC,2018-09-28 05:34:18 UTC,true,1,,,,,,en_US
388027-how-to-enable-location-data-on-the-mobile-device,388027,How to enable location data on the mobile device?,"",1346,2019-05-15 09:40:47 UTC,2019-08-01 10:30:38 UTC,true,1,,,,,,en_US
can-i-have-a-summary-of-the-form-workflow-history,266540,Can I have a summary of the form workflow history?,"",2267,2017-08-10 07:49:42 UTC,2018-03-14 07:34:49 UTC,true,1,,,,,,en_US
how-to-edit-users-and-contractors,271414,How to edit users and contractors? ,"",2903,2017-08-30 06:03:21 UTC,2020-12-14 10:05:44 UTC,true,1,,,,,,en_US
release-notes-android-v41486-29-may-2020,595763,Release Notes - Android v4.148.6 (29-May-2020),"",949,2020-06-15 02:16:59 UTC,2020-06-15 02:17:31 UTC,true,1,,,,,,en_US
614229-snagr-ltd-glossary,614229,Snagr ltd Glossary,,266,2020-07-22 07:50:10 UTC,2020-08-10 07:27:40 UTC,true,1,,,,,,en_US
add-the-previous-issue,476572,Can I save commonly used issue descriptions?,"",1113,2019-10-04 05:18:17 UTC,2019-11-01 04:01:37 UTC,true,1,,,,,,en_US
2fa,357014,How can users activate Two-Factor Authentication?,"",3833,2019-01-09 05:57:01 UTC,2019-11-01 03:58:35 UTC,true,1,,,,,,en_US
328540-how-to-view-issue-history,328540,How to view issue history?,"",1753,2018-07-20 08:29:47 UTC,2019-11-01 04:01:56 UTC,true,1,,,,,,en_US
how-to-import-issue-list,266216,How to import issue list?,"",1878,2017-08-06 13:52:39 UTC,2019-01-10 09:32:20 UTC,true,1,,,,,,en_US
how-to-add-an-issue,264026,How to add an issue?,"",7338,2017-07-21 10:12:42 UTC,2019-11-01 04:01:10 UTC,true,1,,,,,,en_US
